ra_str,dec_str,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_duration,koi_ingress,koi_impact,koi_incl,koi_sma,koi_eccen,koi_ror,koi_dor,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_sparprov,koi_vet_date
19h48m37.06s,+47d40m07.3s,FALSE POSITIVE,16.469814,180.88179,11974,9.439,NA,0.029,89.95,0.116,0,0.0964,14.624,8.2,589,5152,4.54,0.78,0.761,14,Pinsonneault,10/25/13
19h56m00.34s,+43d23m58.7s,FALSE POSITIVE,7.942631,174.5243,2247,5.0292,NA,0.97,76.78,0.077,0,0.0673,4.29,6.4,855,5749,4.53,0.88,0.954,1.9,Pinsonneault,10/25/13
18h48m55.80s,+43d39m56.3s,CONFIRMED,9.770513,175.7103,1968,2.6168,NA,0.68,88.24,0.078,0,0.0427,22.5,2.83,572,4648,4.69,0.607,0.664,6.1,SME,10/25/13
18h48m55.80s,+43d39m56.3s,CONFIRMED,20.08976,147.9838,1448,3.5778,NA,0.59,88.81,0.126,0,0.0356,36,2.36,450,4648,4.69,0.607,0.664,6.1,SME,10/25/13
19h54m18.67s,+40d40m53.2s,FALSE POSITIVE,2.992005,134.1393,89.7,5.2,0.05,0,86,0.0383451,0,0.0086,4,0.69,1022,NA,NA,0.738,NA,NA,,9/5/13
19h24m59.82s,+45d55m17.4s,FALSE POSITIVE,0.536534,132.0348,144,1.18,0.23,0.968,24.7,0.0117287,0,0.0151,1.065,1.18,1738,NA,NA,0.719,NA,NA,,9/5/13
19h43m45.41s,+44d50m14.6s,FALSE POSITIVE,43.7951,158.929,156,11.7,0.1,0,89,0.24932,0,0.012,28,1.3,560,NA,NA,1.056,NA,NA,,9/5/13
19h22m54.05s,+48d12m37.5s,FALSE POSITIVE,0.9523604,132.3387,180,1.7,0.09,0.87,67,0.0193426,0,0.0142,2.2,1.49,1898,NA,NA,0.967,NA,NA,,9/5/13
19h11m48.67s,+46d19m54.3s,FALSE POSITIVE,1.0890379,132.0385,165,2.42,0.04,0.5,80,0.0212138,0,0.0121,3,1.29,1832,NA,NA,0.978,NA,NA,,9/5/13
19h11m12.98s,+43d10m08.3s,FALSE POSITIVE,1.1518407,132.6197,125.5,2.53,0.05,0.7,74,0.0222873,0,0.011,2.5,1.23,1865,NA,NA,1.026,NA,NA,,7/31/13
20h00m55.42s,+46d02m42.7s,FALSE POSITIVE,1.2280173,131.8231,137,1.56,0.02,0,90,0.0218766,0,0.011,6,1.1,1693,NA,NA,0.971,NA,NA,,7/31/13
18h55m03.71s,+47d48m15.5s,FALSE POSITIVE,2.6963366,170.7422,510,3.7977,NA,0.031,89.95,0.034,0,0.0199,5.59,1.53,987,4916,4.6,0.7,0.714,14,Pinsonneault,10/25/13
19h29m05.70s,+37d40m17.6s,FALSE POSITIVE,386.60243,166.34219,25086,6.8093,NA,1.179,89.95,1.062,0,0.384,314.6,62,285,5500,4.133,1.47,1.068,8.8,SME,10/25/13
