koi_disposition,koi_time0bk,koi_incl,koi_sma,koi_ror,koi_dor,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage
'FALSE POSITIVE',166.1563,90,0.446625,0.018,147,NA,NA,2.513,NA,NA
'FALSE POSITIVE',132.099,32.6,0.018593,0.0078,1.178,NA,NA,1,NA,NA
'FALSE POSITIVE',131.5496,76,0.013196,0.006,2.9,NA,NA,2.014,NA,NA
CONFIRMED,122.762566,84.22,0.036,0.12437,8.445,5814.0,4.38,1.06,0.995,6.5
CONFIRMED,121.357802,88.24,0.039,0.07545,4.681,6264.0,3.79,2.71,1.66,1.98
CONFIRMED,121.118595,85.37,0.047,0.09328,7.5,6025.0,4.11,1.56,1.14,5.4
'FALSE POSITIVE',170.83901,85.94,0.099,0.33,16.4,5803.0,4.55,0.87,0.977,0.3
'FALSE POSITIVE',172.48461,84.22,0.129,0.1081,7.74,5110.0,4.55,0.77,0.75,13.9
'FALSE POSITIVE',184.55142,87.66,0.144,0.63,31,6134.0,4.48,0.99,1.079,0.3
'FALSE POSITIVE',180.88179,89.95,0.116,0.0964,14.624,5152.0,4.54,0.78,0.761,14.0
'FALSE POSITIVE',174.5243,76.78,0.077,0.0673,4.29,5749.0,4.53,0.88,0.954,1.9
CONFIRMED,175.7103,88.24,0.078,0.0427,22.5,4648.0,4.69,0.607,0.664,6.1
CONFIRMED,147.9838,88.81,0.126,0.0356,36,4648.0,4.69,0.607,0.664,6.1
'FALSE POSITIVE',134.1393,86,0.038345,0.0086,4,NA,NA,0.738,NA,NA
'FALSE POSITIVE',132.0348,24.7,0.011729,0.0151,1.065,NA,NA,0.719,NA,NA
'FALSE POSITIVE',158.929,89,0.24932,0.012,28,NA,NA,1.056,NA,NA
'FALSE POSITIVE',132.3387,67,0.019343,0.0142,2.2,NA,NA,0.967,NA,NA
'FALSE POSITIVE',132.0385,80,0.021214,0.0121,3,NA,NA,0.978,NA,NA
'FALSE POSITIVE',132.6197,74,0.022287,0.011,2.5,NA,NA,1.026,NA,NA
'FALSE POSITIVE',131.8231,90,0.021877,0.011,6,NA,NA,0.971,NA,NA
'FALSE POSITIVE',170.7422,89.95,0.034,0.0199,5.59,4916.0,4.6,0.7,0.714,14.0
'FALSE POSITIVE',166.34219,89.95,1.062,0.384,314.6,5500.0,4.133,1.47,1.068,8.8
'FALSE POSITIVE',170.30687,73.34,0.028,0.1266,3.38,5863.0,4.54,0.89,0.995,0.5
'FALSE POSITIVE',172.7611,86.52,0.105,0.34,20.3,4224.0,4.72,0.549,0.577,13.9
'FALSE POSITIVE',151.852332,89.95,0.222,0.13877,66.6,5515.0,4.49,0.933,0.985,3.3
'FALSE POSITIVE',194.71254,89.95,0.224,0.23544,48.82,6151.0,4.36,1.14,1.07,3.7
'FALSE POSITIVE',173.3565,81.93,0.07,0.0401,6.87,6006.0,4.49,0.96,1.03,1.5
'FALSE POSITIVE',131.9741,90,0.032365,0.012,4,NA,NA,0.905,NA,NA
'FALSE POSITIVE',132.7158,87,0.033587,0.008,5,NA,NA,0.989,NA,NA
'FALSE POSITIVE',136.4663,71,0.075954,0.018,3,NA,NA,1.367,NA,NA
'FALSE POSITIVE',136.9529,88.4,0.124186,0.0105,30,NA,NA,1.292,NA,NA
'FALSE POSITIVE',132.2503,81.36,0.082,0.01801,6.19,6222.0,4.01,1.92,1.37,3.05
'FALSE POSITIVE',170.6941,89.95,0.036,0.029,8.5,5506.0,4.46,0.9,0.851,10.2
'FALSE POSITIVE',173.53524,89.95,0.278,0.2461,21.142,6146.0,4.48,0.99,1.08,0.3
'FALSE POSITIVE',202.298,87.66,0.22,0.10592,15.96,5854.0,4.06,1.73,1.237,4.8
'FALSE POSITIVE',171.6293,88.24,0.147,0.311,31,6082.0,4.5,0.96,1.059,0.4
'FALSE POSITIVE',188.98197,87.66,0.168,0.52,34,6223.0,4.46,1.02,1.11,0.3
'FALSE POSITIVE',132.4464,90,0.037166,0.0059,2.3,NA,NA,1.785,NA,NA
'FALSE POSITIVE',131.662,90,0.012175,0.007,1.1,NA,NA,0.75,NA,NA
'FALSE POSITIVE',178.513,89.8,1.09533,0.026,175,NA,NA,1.058,NA,NA
'FALSE POSITIVE',186.6782,86.52,0.189,0.09501,13.56,5049.0,4.66,0.687,0.784,0.8
'FALSE POSITIVE',170.99727,78.5,0.025,0.0537,4.46,5716.0,4.56,0.85,0.955,0.4
CONFIRMED,172.7255,88.24,0.105,0.0323,26,4222.0,4.72,0.548,0.577,13.8
'FALSE POSITIVE',173.43343,87.66,0.057,0.07659,9.25,5878.0,4.54,0.89,0.997,0.4
CONFIRMED,178.7506,89.95,0.155,0.0238,38,4509.0,4.68,0.602,0.631,14.0
CONFIRMED,139.0215,89.95,0.203,0.0269,50,4509.0,4.68,0.602,0.631,14.0
'FALSE POSITIVE',172.6976,81.36,0.063,0.04934,6.37,5912.0,4.53,0.91,1.011,0.3
'FALSE POSITIVE',132.0249,50,0.031441,0.029,1.55,NA,NA,0.772,NA,NA
'FALSE POSITIVE',157.041,89.9,1.00321,0.022,182,NA,NA,1.073,NA,NA
'FALSE POSITIVE',132.022,70,0.018688,0.012,2.2,NA,NA,0.729,NA,NA
'FALSE POSITIVE',133.959,90,0.077531,0.0127,16,NA,NA,1.215,NA,NA
'FALSE POSITIVE',131.7993,61,0.013395,0.007,1.8,NA,NA,1.486,NA,NA
'FALSE POSITIVE',132.3046,73,0.01799,0.0132,3.3,NA,NA,0.587,NA,NA
'FALSE POSITIVE',132.0386,85,0.024183,0.0095,3,NA,NA,0.965,NA,NA
'FALSE POSITIVE',131.702,63,0.012779,0.0085,1.9,NA,NA,0.93,NA,NA
'FALSE POSITIVE',147.03,90,0.466836,0.011,69,NA,NA,1.156,NA,NA
'FALSE POSITIVE',131.8399,47,0.020981,0.0064,1.4,NA,NA,1.38,NA,NA
CONFIRMED,176.3769,87.09,0.065,0.037,16,4222.0,4.72,0.548,0.577,13.8
'FALSE POSITIVE',177.19808,89.95,0.091,0.10966,13.78,5814.0,4.4,1.01,0.94,7.2
'FALSE POSITIVE',131.89056,88.89,0.019486,0.027966,5.166643,NA,NA,0.961,NA,NA
'FALSE POSITIVE',138.242,89,0.075591,0.0135,15,NA,NA,1.121,NA,NA
'FALSE POSITIVE',136.51,86.2,0.083503,0.179,12,NA,NA,1,NA,NA
'FALSE POSITIVE',133.2434,88,0.033243,0.0094,4,NA,NA,1.005,NA,NA
'FALSE POSITIVE',200.2947,90,0.450148,0.025,133,NA,NA,1.326,NA,NA
'FALSE POSITIVE',132.0458,85,0.02334,0.0061,2,NA,NA,0.849,NA,NA
'FALSE POSITIVE',131.91267,87,0.016105,0.0065,5,NA,NA,1.595,NA,NA
'FALSE POSITIVE',132.0366,78,0.02435,0.012,3,NA,NA,0.866,NA,NA
'FALSE POSITIVE',137.953,89.9,0.981368,0.025,187,NA,NA,0.801,NA,NA
'FALSE POSITIVE',267.868,89.9,0.786099,0.021,139,NA,NA,1.025,NA,NA
'FALSE POSITIVE',171.4993,89.95,0.114,0.0224,43,5779.0,4.55,0.87,0.974,0.4
'FALSE POSITIVE',170.40338,67.61,0.026,0.065,2.57,5990.0,4.4,1.1,1.1,NA
'FALSE POSITIVE',173.3121,89.95,0.092,0.025,28,5859.0,4.41,1.01,0.959,6.1
'FALSE POSITIVE',169.864615,37.82,0.011,0.498,1.719,5360.0,4.62,0.76,0.861,0.6
'FALSE POSITIVE',132.1139,89,0.025367,0.0115,5,NA,NA,1.052,NA,NA
'FALSE POSITIVE',132.16051,80,0.014629,0.0135,3.9,NA,NA,0.805,NA,NA
'FALSE POSITIVE',132.3764,57,0.018649,0.0121,1.6,NA,NA,0.944,NA,NA
'FALSE POSITIVE',131.5881,72,0.020299,0.0226,2.6,NA,NA,2.425,NA,NA
'FALSE POSITIVE',131.50792,77.1,0.026955,0.0205,4.4,NA,NA,1,NA,NA
'FALSE POSITIVE',131.8399,72,0.028193,0.0068,2.7,NA,NA,1,NA,NA
'FALSE POSITIVE',132.7089,90,0.032271,0.0078,3,NA,NA,1.216,NA,NA
'FALSE POSITIVE',136.6508,81.1,0.082356,0.031,6.3,NA,NA,0.895,NA,NA
'FALSE POSITIVE',132.5504,90,0.032717,0.004,2,NA,NA,3.862,NA,NA
'FALSE POSITIVE',171.6425,89.95,0.041,0.026,9.8,5249.0,4.55,0.78,0.8,9.2
'FALSE POSITIVE',169.81903,66.46,0.026,0.0596,2.447,5736.0,4.41,0.98,0.915,8.1
'FALSE POSITIVE',171.7857,88.81,0.074,0.017,11.1,5648.0,4.57,0.83,0.936,0.4
CONFIRMED,154.2089,89.95,0.53,0.0913,109.1,5461.0,4.48,0.94,0.969,4.8
CONFIRMED,243.90628,89.38,0.298,0.13617,61.3,5461.0,4.48,0.94,0.969,4.8
CONFIRMED,150.692,88.81,0.184,0.0133,37.7,5461.0,4.48,0.94,0.969,4.8
'FALSE POSITIVE',170.50433,89.95,0.025,0.032,6.4,5565.0,4.58,0.81,0.914,0.5
'FALSE POSITIVE',171.9846,89.95,0.035,0.026,4.3,4606.0,4.66,0.623,0.651,13.8
'FALSE POSITIVE',133.0472,90,0.050689,0.01,7,NA,NA,0.731,NA,NA
'FALSE POSITIVE',132.434311,88.95,0.019948,0.043891,5.439722,NA,NA,1.054,NA,NA
'FALSE POSITIVE',236.43,90,0.878815,0.034,177,NA,NA,0.645,NA,NA
'FALSE POSITIVE',132.3023,61,0.021138,0.0107,1.6,NA,NA,0.927,NA,NA
'FALSE POSITIVE',132.2116,22.9,0.017046,0.0072,1.074,NA,NA,1.219,NA,NA
'FALSE POSITIVE',132.0597,90,0.09269,0.0108,20,NA,NA,1.256,NA,NA
'FALSE POSITIVE',133.0824,90,0.028735,0.0096,7,NA,NA,0.791,NA,NA
'FALSE POSITIVE',132.201,46,0.01839,0.0151,1.41,NA,NA,0.762,NA,NA
'FALSE POSITIVE',131.642,73,0.016889,0.0117,2.8,NA,NA,0.824,NA,NA
'FALSE POSITIVE',131.8676,58,0.018462,0.00527,1.65,NA,NA,1.933,NA,NA
'FALSE POSITIVE',131.7689,69,0.015671,0.016,2.2,NA,NA,0.785,NA,NA
'FALSE POSITIVE',138.017,89.9,1.03159,0.025,176,NA,NA,0.96,NA,NA
'FALSE POSITIVE',196.93382,89.38,0.212,0.28502,46.84,5420.0,4.61,0.77,0.875,0.5
'FALSE POSITIVE',173.71962,80.79,0.058,0.24,7.4,6546.0,4.39,1.17,1.22,0.24
'FALSE POSITIVE',171.6641,89.95,0.045,0.0245,8.023,5478.0,4.59,0.79,0.892,0.6
'FALSE POSITIVE',172.18011,87.66,0.077,0.12198,15.9,5729.0,4.56,0.85,0.96,0.4
'FALSE POSITIVE',174.7759,83.65,0.066,0.0322,8.4,6091.0,4.49,0.97,1.07,0.4
'FALSE POSITIVE',171.001,77.35,0.036,0.0544,4.39,5886.0,4.53,0.9,1.0,0.4
CONFIRMED,174.7761,88.24,0.141,0.0299,22.1,6086.0,4.49,0.97,1.065,0.3
'FALSE POSITIVE',131.78176,59,0.015097,0.0158,1.8,NA,NA,0.723,NA,NA
'FALSE POSITIVE',132.6538,84,0.029552,0.012,3,NA,NA,0.991,NA,NA
'FALSE POSITIVE',169.247,90,0.411359,0.022,38,NA,NA,1.167,NA,NA
'FALSE POSITIVE',310.154,90,0.632395,0.024,84,NA,NA,0.872,NA,NA
'FALSE POSITIVE',131.8681,90,0.018118,0.0081,2.7,NA,NA,0.907,NA,NA
CONFIRMED,163.8482,88.81,0.228,0.0328,36,6086.0,4.49,0.97,1.065,0.3
'FALSE POSITIVE',173.39297,84.8,0.048,0.12798,7.146,5779.0,4.55,0.86,0.97,0.4
'FALSE POSITIVE',171.82074,89.95,0.085,0.2002,23.708,5712.0,4.52,0.88,0.933,3.4
'FALSE POSITIVE',132.1652,63,0.013905,0.009,2,NA,NA,0.551,NA,NA
'FALSE POSITIVE',131.94911,71,0.014191,0.0184,2.7,NA,NA,0.969,NA,NA
'FALSE POSITIVE',148.593,89.9,0.964351,0.019,184,NA,NA,0.814,NA,NA
'FALSE POSITIVE',132.5171,71,0.020098,0.0133,2.5,NA,NA,0.855,NA,NA
'FALSE POSITIVE',135.945,89.8,0.967757,0.021,175,NA,NA,1.885,NA,NA
'FALSE POSITIVE',132.0704,66,0.019048,0.0112,2.1,NA,NA,1.026,NA,NA
'FALSE POSITIVE',132.9928,90,0.054099,0.0101,9,NA,NA,1.168,NA,NA
'FALSE POSITIVE',171.5829,89.95,0.031,0.034,8.3,4796.0,4.62,0.669,0.688,13.9
'FALSE POSITIVE',170.66896,52.14,0.035,0.191,1.8,5741.0,4.56,0.85,0.962,0.4
'FALSE POSITIVE',169.94833,85.94,0.037,0.0965,10.8,5004.0,4.58,0.73,0.731,13.9
CONFIRMED,174.002,87.66,0.121,0.05706,19.2,5399.0,4.51,0.919,0.996,1.9
CONFIRMED,153.4291,88.24,0.194,0.07316,30.8,5399.0,4.51,0.919,0.996,1.9
'FALSE POSITIVE',132.1146,70,0.017918,0.0148,2.7,NA,NA,0.98,NA,NA
'FALSE POSITIVE',131.994,39,0.025251,0.024,1.28,NA,NA,1.196,NA,NA
'FALSE POSITIVE',132.1293,80,0.019338,0.0124,4.7,NA,NA,1.219,NA,NA
'FALSE POSITIVE',131.9084,39,0.011525,0.0159,1.22,NA,NA,0.719,NA,NA
'FALSE POSITIVE',132.0347,76,0.024129,0.0101,2.1,NA,NA,0.954,NA,NA
'FALSE POSITIVE',131.79974,75,0.013908,0.0108,2.9,NA,NA,1.36,NA,NA
'FALSE POSITIVE',172.00174,75.06,0.038,0.145,3.9,4997.0,4.58,0.73,0.729,14.0
'FALSE POSITIVE',134.4177,90,0.045726,0.0062,6,NA,NA,1,NA,NA
'FALSE POSITIVE',131.8198,89,0.021673,0.0076,4,NA,NA,1.027,NA,NA
'FALSE POSITIVE',132.4468,88,0.068189,0.014,15,NA,NA,0.895,NA,NA
'FALSE POSITIVE',287.424,89.9,1.03309,0.03,177,NA,NA,0.918,NA,NA
'FALSE POSITIVE',312.095,90,1.10294,0.017,186,NA,NA,1.579,NA,NA
'FALSE POSITIVE',175.4039,89.95,0.083,0.031,29.4,4889.0,4.6,0.695,0.708,13.8
'FALSE POSITIVE',173.82185,89.95,0.061,0.1724,16.758,5557.0,4.53,0.85,0.886,5.0
'FALSE POSITIVE',222.2359,89.95,0.469,0.073,121,5779.0,4.55,0.86,0.972,0.4
'FALSE POSITIVE',171.64663,85.37,0.04,0.0352,9.9,6098.0,4.49,0.97,1.07,0.3
'FALSE POSITIVE',132.6888,90,0.02817,0.009,4,NA,NA,0.968,NA,NA
'FALSE POSITIVE',217.3984,90,0.599848,0.0294,147,NA,NA,0.742,NA,NA
'FALSE POSITIVE',203.101,89.9,1.03325,0.036,243,NA,NA,0.849,NA,NA
'FALSE POSITIVE',404.246,90,1.00765,0.027,220,NA,NA,0.929,NA,NA
